,Judul,Date
0,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric","Oktober 25, 2022"
1,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan ","Oktober 26, 2022"
2,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura","Oktober 25, 2022"
3,Waspadai Resistensi Antibiotik Saat Sakit,"Oktober 25, 2022"
4,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric","Oktober 25, 2022"
5,"Atasi Stunting, Guru Besar FK UNAIR Berikan Penyuluhan di Puskesmas Arosbaya","Oktober 25, 2022"
6,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak","Oktober 25, 2022"
7,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak","Oktober 25, 2022"
8,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar,"Oktober 21, 2022"
9,Dua Mahasiswa Perikanan UNAIR Ikuti Summer School di Hiroshima University,"September 23, 2022"
10,"Sambut Pertukaran Mahasiswa, Rektor UNAIR: Pulang Harus Jadi Orang Hebat","Agustus 15, 2022"
11,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara","Oktober 25, 2022"
12,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022,"Oktober 24, 2022"
13,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,"Oktober 18, 2022"
14,Mahasiswa Farmasi UNAIR Cetuskan Ide Pengobatan Kanker Payudara Berbasis Daun Pepaya,"Agustus 31, 2022"
15,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan,"Agustus 24, 2022"
16,Peneliti FKM UNAIR Kembangkan Formula Fermentasi Bawang untuk Lansia Pasca Vaksinasi,"Desember 31, 2021"
17,Ketua KPK Kunjungi UNAIR,"September 16, 2022"
18,UNAIR Terima Kunjungan Dubes Pakistan,"September 8, 2022"
19,MoU UNAIR-Pemkab Banyuwangi Perkuat Kerjasama Bidang Pendidikan,"September 2, 2022"
20,"Perbandingan Deformasi Permanen Kawat Termal Nikel-Titanium 0,014 Menggunakan IMD Orthoshaped, American Orthodontics, dan Ormco","Oktober 22, 2022"
21,Ekstrak Etanol Mangrove Gagal Menghambat Pertumbuhan Candida albicans Diisolasi dari Oral Kandidiasis Pasien HIV/AIDS in vitro,"Oktober 21, 2022"
22,Intensitas Zeylanicobdella arugamensis dan Histopatologi Kulit Kerapu Hibrida dari Kolam Tanah dan Beton,"Oktober 21, 2022"
23,E-Radio Announcer Competition 2022,"Oktober 25, 2022"
24,SEGTA Fall Program 2022,"Oktober 25, 2022"
25,Tiga Dosen FTMM dan Tim IMERCY ungkap Potensi Besar Energi Hijau di Kawasan Pantai Bomo,"Oktober 25, 2022"
26,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara","Oktober 25, 2022"
27,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI,"Oktober 18, 2022"
28,"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik","Oktober 18, 2022"
29,Gowes Bareng Gubernur dan Alumni UNAIR Ramaikan World Heart Day,"September 27, 2022"
30,Khofifah Resmi Mulai Semarak Peringatan HUT EMAS IKA UNAIR,"September 25, 2022"
31,Alumni UNAIR Siap Luncurkan Aplikasi untuk Petani Walet,"September 20, 2022"
32,"Gandeng PT Suparma Tbk, DPKKA UNAIR Bahas Peluang Kerja di Industri Pulp dan Kertas","Oktober 5, 2022"
33,Rektor Beri Kesempatan Wisudawan Sampaikan Kisah Menarik Selama Kuliah,"Oktober 1, 2022"
34,Tim UNAIR Sabet 3 Penghargaan di Ajang Lomba Debat Nasional KITA Brawijaya,"Oktober 5, 2022"
35,Mahasiswi FK UNAIR Raih Juara III Writing Competition Djarum Beasiswa Plus,"Oktober 5, 2022"
36,UKM Kependudukan UNAIR Lakukan Gerakan Peduli Lingukungan Tanam Bibit Mangrove di Pesisir,"Oktober 10, 2022"
37,AUBMO SIKIA UNAIR Bangun Relasi Organisasi Melalui Pertemuan Bersama FORBIMWANGI POLIWANGI,"Oktober 1, 2022"
38,Pengaruh Dosis Krioprotektan Terhadap Viabilitas Blastoscyst Mencit,"Oktober 17, 2022"
39,IKA UNAIR: Wisudawan Harus Miliki Sifat Teguh dan Inovatif dalam Bermasyarakat,"Oktober 1, 2022"
40,Perbedaan Kegiatan Mata Pencaharian Rumah Tangga Petani Sasak dan Nelayan Sasak,"September 28, 2022"
41,UNAIR Berikan Pelatihan Penanganan Korban Kekerasan Seksual,"September 30, 2022"
42,"Apresiasi Karya, HIMA EKIS UNAIR Gelar Festival Film dan Fotografi","Oktober 3, 2022"
43,Pakar Hukum UNAIR: Gas Air Mata dan Kekerasan Langgar Etik Hingga Pidana,"Oktober 19, 2022"
